Ville1,Ville2,Distance,Vitesse,Statut
0,4,483,113,utilisable
0,14,105,119,utilisable
0,20,450,124,non_utilisable
0,35,234,93,utilisable
0,39,133,111,non_utilisable
0,43,355,68,utilisable
0,68,201,123,utilisable
0,86,62,73,utilisable
0,93,455,104,utilisable
0,95,345,85,utilisable
0,96,480,77,utilisable
0,97,293,127,utilisable
1,27,453,77,utilisable
1,45,129,61,utilisable
1,52,93,125,utilisable
1,58,325,61,utilisable
1,61,296,80,utilisable
1,70,200,129,utilisable
1,76,436,108,utilisable
2,11,61,104,utilisable
2,24,364,78,utilisable
2,29,337,106,utilisable
2,32,286,113,utilisable
2,37,98,73,non_utilisable
2,44,277,64,utilisable
2,48,96,63,utilisable
2,60,128,93,utilisable
2,61,486,117,utilisable
2,62,252,116,non_utilisable
2,73,124,116,utilisable
2,74,255,77,utilisable
2,79,276,91,utilisable
2,82,157,110,utilisable
2,87,137,79,utilisable
2,98,366,92,utilisable
3,18,311,68,utilisable
3,20,293,78,utilisable
3,24,363,61,utilisable
3,36,133,104,utilisable
3,44,402,107,non_utilisable
3,48,348,67,utilisable
3,51,249,83,non_utilisable
3,55,279,116,utilisable
3,57,195,104,utilisable
3,59,439,74,utilisable
3,61,209,121,non_utilisable
3,70,97,89,utilisable
3,73,417,97,utilisable
3,76,323,90,utilisable
3,81,356,109,non_utilisable
3,82,248,97,utilisable
4,7,297,103,utilisable
4,9,110,74,non_utilisable
4,17,103,130,utilisable
4,32,113,99,utilisable
4,35,369,87,utilisable
4,45,324,92,utilisable
4,53,328,61,utilisable
4,72,469,77,utilisable
4,77,451,70,utilisable
5,21,232,111,utilisable
5,24,340,98,utilisable
5,28,128,72,utilisable
5,46,460,106,utilisable
5,50,397,63,utilisable
5,55,233,69,utilisable
5,58,436,63,utilisable
5,75,210,64,utilisable
5,81,250,121,non_utilisable
5,83,175,62,utilisable
5,87,193,77,utilisable
5,97,413,119,utilisable
6,11,255,84,utilisable
6,13,477,108,utilisable
6,17,494,80,utilisable
6,27,225,93,utilisable
6,33,402,96,utilisable
6,37,369,67,utilisable
6,42,491,106,utilisable
6,57,144,69,utilisable
6,68,455,74,utilisable
6,77,390,126,non_utilisable
6,78,475,76,utilisable
6,81,393,71,utilisable
7,22,176,129,utilisable
7,23,199,71,utilisable
7,26,478,111,utilisable
7,56,388,125,utilisable
7,66,191,100,utilisable
7,69,498,92,utilisable
7,71,277,78,utilisable
7,94,433,78,utilisable
7,96,325,103,non_utilisable
8,10,435,107,utilisable
8,11,364,89,utilisable
8,43,460,91,utilisable
8,57,455,84,utilisable
8,59,142,109,utilisable
8,68,455,77,non_utilisable
8,81,94,113,utilisable
8,91,414,130,utilisable
9,10,273,77,utilisable
9,13,430,89,utilisable
9,47,135,79,utilisable
9,62,283,63,utilisable
9,66,254,101,utilisable
9,69,389,82,utilisable
9,80,496,68,utilisable
9,84,287,123,utilisable
9,89,211,119,utilisable
9,90,124,62,utilisable
9,91,113,60,non_utilisable
9,99,85,76,utilisable
10,13,395,118,non_utilisable
10,23,227,61,utilisable
10,29,281,108,utilisable
10,31,76,71,non_utilisable
10,39,81,79,utilisable
10,44,313,101,utilisable
