Ville1,Ville2,Distance,Vitesse,Statut
0,2,283,121,utilisable
0,5,210,62,utilisable
0,7,331,67,utilisable
0,11,424,98,utilisable
0,41,265,127,utilisable
0,70,409,69,utilisable
0,75,444,127,non_utilisable
0,83,200,96,utilisable
0,91,202,121,utilisable
0,101,112,63,utilisable
0,102,305,94,utilisable
0,113,223,98,utilisable
0,119,137,90,non_utilisable
0,176,322,102,non_utilisable
0,184,424,81,utilisable
0,207,149,91,utilisable
0,225,71,121,utilisable
0,235,75,129,utilisable
0,242,120,79,utilisable
0,249,479,123,utilisable
0,264,96,69,utilisable
0,277,281,82,utilisable
0,285,94,64,non_utilisable
0,289,104,66,utilisable
0,297,391,89,utilisable
0,306,104,62,utilisable
0,312,250,80,utilisable
0,315,87,78,utilisable
0,317,196,126,non_utilisable
0,320,459,90,utilisable
0,326,69,98,utilisable
0,327,340,94,utilisable
0,336,83,117,non_utilisable
0,337,89,109,utilisable
0,345,277,81,non_utilisable
0,349,201,66,utilisable
0,371,424,110,non_utilisable
0,395,197,117,utilisable
0,397,310,61,utilisable
0,414,311,110,utilisable
0,422,398,73,utilisable
0,431,57,100,utilisable
0,438,142,98,utilisable
0,449,255,65,utilisable
0,450,205,126,utilisable
0,461,411,64,utilisable
0,476,234,123,utilisable
0,495,377,130,utilisable
0,498,204,110,non_utilisable
0,506,232,72,utilisable
0,529,245,82,utilisable
0,565,458,95,utilisable
0,566,288,71,utilisable
0,571,173,128,utilisable
0,572,248,110,utilisable
0,576,334,88,utilisable
0,577,381,62,utilisable
0,581,317,104,utilisable
0,596,64,128,utilisable
0,602,383,63,utilisable
0,604,308,110,utilisable
0,616,264,129,utilisable
0,622,356,92,utilisable
0,625,217,119,utilisable
0,629,96,92,utilisable
0,635,428,130,utilisable
0,667,284,83,utilisable
0,669,282,76,utilisable
0,671,280,68,utilisable
0,683,90,118,utilisable
0,704,317,84,utilisable
0,708,119,95,non_utilisable
0,712,293,63,utilisable
0,746,494,128,utilisable
0,747,216,112,utilisable
0,758,352,113,utilisable
0,772,323,111,non_utilisable
0,790,477,60,utilisable
0,802,386,87,utilisable
0,810,267,69,utilisable
0,815,232,94,utilisable
0,823,488,92,utilisable
0,836,203,60,utilisable
0,841,490,91,utilisable
0,843,82,80,utilisable
0,844,301,81,utilisable
0,848,270,123,utilisable
0,852,182,86,utilisable
0,853,341,117,non_utilisable
0,854,63,125,utilisable
0,868,153,60,non_utilisable
0,893,230,102,utilisable
0,895,433,116,utilisable
0,898,176,102,utilisable
0,909,106,91,utilisable
0,923,282,101,non_utilisable
0,973,365,69,utilisable
0,987,77,77,utilisable
0,995,467,73,utilisable
0,997,87,108,utilisable
0,999,269,67,utilisable
1,10,204,90,utilisable
1,17,473,62,utilisable
1,25,418,106,utilisable
1,28,168,80,utilisable
1,34,256,116,non_utilisable
1,42,269,128,non_utilisable
1,43,251,96,utilisable
1,59,183,108,non_utilisable
1,65,291,117,non_utilisable
1,68,167,60,utilisable
1,74,91,127,utilisable
1,82,470,119,non_utilisable
1,98,449,86,utilisable
1,99,467,129,utilisable
1,119,215,130,utilisable
1,145,376,92,utilisable
1,152,448,68,non_utilisable
1,153,229,105,utilisable
1,163,456,111,utilisable
1,166,225,126,non_utilisable
1,173,453,119,utilisable
1,178,200,122,utilisable
1,213,366,128,non_utilisable
1,224,373,92,non_utilisable
1,242,322,110,utilisable
1,248,94,71,non_utilisable
1,291,492,125,utilisable
1,303,274,93,utilisable
1,348,436,110,utilisable
1,349,105,113,non_utilisable
1,359,195,87,utilisable
1,374,403,103,utilisable
1,379,494,104,utilisable
1,383,214,124,utilisable
1,390,230,66,non_utilisable
1,404,183,98,non_utilisable
1,410,412,100,utilisable
1,413,352,118,utilisable
1,429,385,63,non_utilisable
1,431,325,113,non_utilisable
