Ville1,Ville2,Distance,Vitesse,Statut
0,20,152,98,utilisable
0,33,140,81,non_utilisable
0,36,427,103,utilisable
0,52,376,71,non_utilisable
0,71,467,78,utilisable
0,76,87,101,utilisable
0,77,62,74,utilisable
0,79,288,68,utilisable
0,83,188,107,utilisable
0,84,478,77,utilisable
0,97,423,79,utilisable
0,114,160,104,utilisable
0,122,72,69,utilisable
0,124,165,92,utilisable
0,136,57,86,utilisable
0,149,163,67,utilisable
0,150,91,127,utilisable
0,154,262,129,non_utilisable
0,165,57,118,utilisable
0,172,58,74,utilisable
0,173,104,113,utilisable
0,191,162,115,utilisable
0,194,343,97,non_utilisable
0,195,145,91,utilisable
0,201,164,109,utilisable
0,228,142,113,utilisable
0,234,255,67,utilisable
0,235,490,75,utilisable
0,242,77,71,utilisable
0,253,240,81,utilisable
0,254,112,101,non_utilisable
0,259,355,123,non_utilisable
0,282,441,76,utilisable
0,297,300,73,utilisable
0,305,412,64,utilisable
0,306,97,69,utilisable
0,331,447,70,utilisable
0,336,285,86,utilisable
0,362,307,93,utilisable
0,363,405,99,utilisable
0,382,194,74,utilisable
0,388,366,130,non_utilisable
0,410,76,102,utilisable
0,411,266,70,non_utilisable
0,414,157,107,utilisable
0,420,158,96,utilisable
0,448,218,89,utilisable
0,455,211,60,utilisable
0,462,135,127,utilisable
0,465,497,76,utilisable
0,472,95,91,utilisable
0,475,406,98,utilisable
0,476,317,96,utilisable
1,4,186,129,utilisable
1,9,91,67,utilisable
1,18,186,129,utilisable
1,21,396,64,utilisable
1,24,492,70,non_utilisable
1,26,402,78,utilisable
1,29,209,110,utilisable
1,31,328,95,non_utilisable
1,62,81,121,utilisable
1,66,398,113,utilisable
1,69,104,95,utilisable
1,76,440,93,utilisable
1,93,321,68,utilisable
1,102,323,80,utilisable
1,118,170,72,utilisable
1,132,215,83,utilisable
1,133,447,122,utilisable
1,147,413,97,non_utilisable
1,159,151,119,utilisable
1,161,76,72,utilisable
1,167,166,95,utilisable
1,176,68,116,utilisable
1,184,69,62,utilisable
1,196,133,112,utilisable
1,201,343,103,utilisable
1,204,359,78,utilisable
1,224,105,91,non_utilisable
1,227,159,116,non_utilisable
1,235,250,91,utilisable
1,245,201,123,utilisable
1,248,86,67,utilisable
1,252,273,63,utilisable
1,273,491,107,utilisable
1,277,342,80,utilisable
1,280,130,80,utilisable
1,287,114,85,utilisable
1,294,312,129,non_utilisable
1,307,274,83,utilisable
1,354,422,75,utilisable
1,366,146,98,utilisable
1,369,450,83,utilisable
1,372,424,121,utilisable
1,374,415,127,utilisable
1,375,165,96,utilisable
1,376,342,86,utilisable
1,401,141,105,utilisable
1,422,138,83,non_utilisable
1,439,400,76,utilisable
1,441,252,129,utilisable
1,457,201,107,utilisable
1,480,417,102,utilisable
1,483,385,114,utilisable
1,496,167,109,utilisable
1,498,320,71,utilisable
2,5,453,76,non_utilisable
2,8,367,125,utilisable
2,14,436,94,utilisable
2,30,146,96,non_utilisable
2,35,285,129,non_utilisable
2,58,412,95,utilisable
2,71,129,78,utilisable
2,82,123,71,non_utilisable
2,94,300,111,utilisable
2,95,95,113,utilisable
2,100,119,112,utilisable
